col_id,col_w,col_desc,eotf,Wx,Wy,Rx,Ry,Gx,Gy,Bx,By,M0,M1,M2,M3,M4,M5,M6,M7,M8
sRGB,D65,sRGB spec,non-linear gamma near 2.2,0.3127000000000000,0.3290000000000000,0.6400000000000000,0.3300000000000000,0.3000000000000000,0.6000000000000000,0.1500000000000000,0.0600000000000000,0.6274038959346993,0.3292830383778838,0.0433130656874173,0.0690972893582320,0.9195403950754587,0.0113623155663092,0.0163914388751502,0.0880133078772258,0.8955952532476239
sRGB_D93,D93,sRGB D93,non-linear gamma near 2.2,0.2831109374591642,0.2970729817807810,0.6400000000000000,0.3300000000000000,0.3000000000000000,0.6000000000000000,0.1500000000000000,0.0600000000000000,0.5311859722082645,0.3329056856827868,0.0581575010961126,0.0585006103126404,0.9296568303172483,0.0152564559796092,0.0138776670836855,0.0889815969641697,1.2025374121128778
BT460_6,C,BT.470-6 / Brazil PAL-M / France SECAM,gamma 2.8,0.3085489296804946,0.3249281021620830,0.6700000000000000,0.3300000000000000,0.2100000000000000,0.7100000000000000,0.1400000000000000,0.0800000000000000,0.8944899912040846,0.0747921191797404,0.0193639633127963,0.0751426655725944,0.8604468747945503,0.0656010899856708,-0.0019882061205095,0.0415363391318330,0.9971360288217084
BT601_525,D65,BT.601-525 NTSC,non-linear gamma near 2.2,0.3127000000000000,0.3290000000000000,0.6300000000000000,0.3400000000000000,0.3100000000000000,0.5950000000000000,0.1550000000000000,0.0700000000000000,0.5952542063764417,0.3493139197497753,0.0554318738737834,0.0812436618052924,0.8915032956022170,0.0272530425924905,0.0155123412443849,0.0819116421430681,0.9025760166125467
BT601_525_D93,D93,BT.601-525 NTSC-J,non-linear gamma 2.2,0.2831109374591642,0.2970729817807810,0.6300000000000000,0.3400000000000000,0.3100000000000000,0.5950000000000000,0.1550000000000000,0.0700000000000000,0.4956000017434267,0.3523454534242875,0.0743037038194492,0.0676422921518708,0.8992402396767409,0.0365313647808860,0.0129153498881786,0.0826225153360666,1.2098588109364876
BT601_625,D65,BT.601-625 PAL,non-linear gamma near 2.2,0.3127000000000000,0.3290000000000000,0.6400000000000000,0.3300000000000000,0.2900000000000000,0.6000000000000000,0.1500000000000000,0.0600000000000000,0.6550367767019671,0.3021609649789077,0.0428022583191256,0.0721405556983827,0.9166311288209638,0.0112283154806534,0.0171133704394517,0.0978534699238329,0.8850331596367150
BT709,D65,BT.709 HD spec,BT.1886,0.3127000000000000,0.3290000000000000,0.6400000000000000,0.3300000000000000,0.3000000000000000,0.6000000000000000,0.1500000000000000,0.0600000000000000,0.6274038959346993,0.3292830383778838,0.0433130656874173,0.0690972893582320,0.9195403950754587,0.0113623155663092,0.0163914388751502,0.0880133078772258,0.8955952532476239
BT709_D93,D93,BT.709 HD D93,BT.1886,0.2831109374591642,0.2970729817807810,0.6400000000000000,0.3300000000000000,0.3000000000000000,0.6000000000000000,0.1500000000000000,0.0600000000000000,0.5311859722082645,0.3329056856827868,0.0581575010961126,0.0585006103126404,0.9296568303172483,0.0152564559796092,0.0138776670836855,0.0889815969641697,1.2025374121128778
BT2020,D65,BT.2020 UHD spec,SDR BT.1886 / HDR PQ,0.3127000000000000,0.3290000000000000,0.7080000000000000,0.2920000000000000,0.1700000000000000,0.7970000000000000,0.1310000000000000,0.0460000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000001,0.0000000000000000,0.9999999999999999,-0.0000000000000000,-0.0000000000000000,0.0000000000000000,1.0000000000000000
AppleRGB,D65,AppleRGB Macintosh spec,gamma 1.8,0.3127000000000000,0.3290000000000000,0.6250000000000000,0.3400000000000000,0.2800000000000000,0.5950000000000000,0.1550000000000000,0.0700000000000000,0.6785293918734701,0.2681032227413895,0.0533673853851408,0.0960317502827285,0.8777302114676037,0.0262380382496679,0.0211927404933792,0.1098465199215898,0.8689607395850308
ARIBTRB9v1,D93,ARIB TR B9 v1.0 1125/60 HDTV,non-linear gamma near 2.2,0.2831109374591642,0.2970729817807810,0.6700000000000000,0.3300000000000000,0.2100000000000000,0.7100000000000000,0.1400000000000000,0.0800000000000000,0.8236971186670748,0.0739639164512725,0.0245881238688159,0.0691956284919323,0.8509188060993181,0.0832994620182474,-0.0018308529652472,0.0410763908140580,1.2661511383119222
Raney_PVM_20M2U,D93,Sony PVM 20M2U by Keith Raney,gamma 2.25,0.2831109374591642,0.2970729817807810,0.6300000000000000,0.3450000000000000,0.2850000000000000,0.6050000000000000,0.1500000000000000,0.0650000000000000,0.5872089925539441,0.2774573232752362,0.0575828431579833,0.0851230451111328,0.8899802863395093,0.0283105651588557,0.0122749050199245,0.0932945628809332,1.1998272082598753
Raney_PVM_20L2MDU,D93,Sony PVM 20L2MDU by Keith Raney,gamma 2.25,0.2831109374591642,0.2970729817807810,0.6250000000000000,0.3450000000000000,0.2800000000000000,0.6050000000000000,0.1500000000000000,0.0650000000000000,0.6012963866160133,0.2637353652054985,0.0572174071656518,0.0902527795398800,0.8850302182645736,0.0281308988050443,0.0156493692313501,0.0975345202998131,1.1922127866295700
