col_id,col_w,col_desc,eotf,Wx,Wy,Rx,Ry,Gx,Gy,Bx,By,Msrc0,Msrc1,Msrc2,Msrc3,Msrc4,Msrc5,Msrc6,Msrc7,Msrc8,Mdst0,Mdst1,Mdst2,Mdst3,Mdst4,Mdst5,Mdst6,Mdst7,Mdst8
sRGB,D65,sRGB spec,non-linear gamma near 2.2,0.3127000000000000,0.3290000000000000,0.6400000000000000,0.3300000000000000,0.3000000000000000,0.6000000000000000,0.1500000000000000,0.0600000000000000,0.4123907992659595,0.3575843393838780,0.1804807884018343,0.2126390058715104,0.7151686787677560,0.0721923153607337,0.0193308187155918,0.1191947797946260,0.9505321522496607,3.2409699419045213,-1.5373831775700932,-0.4986107602930033,-0.9692436362808797,1.8759675015077204,0.0415550574071756,0.0556300796969936,-0.2039769588889765,1.0569715142428786
sRGB_D93,D93,sRGB D93,non-linear gamma near 2.2,0.2831109374591642,0.2970729817807810,0.6400000000000000,0.3300000000000000,0.3000000000000000,0.6000000000000000,0.1500000000000000,0.0600000000000000,0.3491470312142140,0.3615183468861349,0.2423359206447531,0.1800289379698291,0.7230366937722698,0.0969343682579012,0.0163662670881663,0.1205061156287116,1.2763025153956995,3.8280325056492823,-1.8158615731926080,-0.5889280777921974,-0.9586964212654141,1.8555534055469254,0.0411028593126539,0.0414307570081137,-0.1519127756964167,0.7871843831541597
BT460_6,C,BT.470-6 / Brazil PAL-M / France SECAM,gamma 2.8,0.3085489296804946,0.3249281021620830,0.6700000000000000,0.3300000000000000,0.2100000000000000,0.7100000000000000,0.1400000000000000,0.0800000000000000,0.5802837284562563,0.1790893024515965,0.1902183637034446,0.2858113886426337,0.6054924035268264,0.1086962078305398,-0.0000000000000000,0.0682244961720368,1.0597880263477626,1.9975733166241614,-0.5568682647366587,-0.3014241066005768,-0.9539414449993507,1.9367902065138332,-0.0274248900271763,0.0614105583802372,-0.1246820427719965,0.9453504138533455
BT601_525,D65,BT.601-525 NTSC,non-linear gamma near 2.2,0.3127000000000000,0.3290000000000000,0.6300000000000000,0.3400000000000000,0.3100000000000000,0.5950000000000000,0.1550000000000000,0.0700000000000000,0.3935209036593898,0.3652580767176036,0.1916769466746783,0.2123763607050675,0.7010598569257229,0.0865637823692096,0.0187390906504471,0.1119339267360398,0.9583847333733915,3.5060032827246630,-1.7397907263028323,-0.5440582683627412,-1.0690475598538152,1.9777788827287872,0.0351714193371951,0.0563065917341277,-0.1969756548207718,1.0499523282187335
BT601_525_D93,D93,BT.601-525 NTSC-J,non-linear gamma 2.2,0.2831109374591642,0.2970729817807810,0.6300000000000000,0.3400000000000000,0.3100000000000000,0.5950000000000000,0.1550000000000000,0.0700000000000000,0.3276397855747888,0.3684279823436095,0.2569335308267033,0.1768214715800448,0.7071440306272504,0.1160344977927047,0.0156018945511804,0.1129053494278803,1.2846676541335165,4.2109830392855683,-2.0896241816048802,-0.6534563591960276,-1.0598496160578741,1.9607623348339243,0.0348688090975429,0.0420057107631262,-0.1469473134308671,0.7832829595241769
BT601_625,D65,BT.601-625 PAL,non-linear gamma near 2.2,0.3127000000000000,0.3290000000000000,0.6400000000000000,0.3300000000000000,0.2900000000000000,0.6000000000000000,0.1500000000000000,0.0600000000000000,0.4305538133299024,0.3415498035305533,0.1783523101912159,0.2220043099982310,0.7066547659252828,0.0713409240764864,0.0201822099998392,0.1295533737529685,0.9393221670070706,3.0633610900832702,-1.3933901749073669,-0.4758237379975298,-0.9692436362808797,1.8759675015077204,0.0415550574071756,0.0678610475535669,-0.2287992696204958,1.0690896180160279
BT709,D65,BT.709 HD spec,BT.1886,0.3127000000000000,0.3290000000000000,0.6400000000000000,0.3300000000000000,0.3000000000000000,0.6000000000000000,0.1500000000000000,0.0600000000000000,0.4123907992659595,0.3575843393838780,0.1804807884018343,0.2126390058715104,0.7151686787677560,0.0721923153607337,0.0193308187155918,0.1191947797946260,0.9505321522496607,3.2409699419045213,-1.5373831775700932,-0.4986107602930033,-0.9692436362808797,1.8759675015077204,0.0415550574071756,0.0556300796969936,-0.2039769588889765,1.0569715142428786
BT709_D93,D93,BT.709 HD D93,BT.1886,0.2831109374591642,0.2970729817807810,0.6400000000000000,0.3300000000000000,0.3000000000000000,0.6000000000000000,0.1500000000000000,0.0600000000000000,0.3491470312142140,0.3615183468861349,0.2423359206447531,0.1800289379698291,0.7230366937722698,0.0969343682579012,0.0163662670881663,0.1205061156287116,1.2763025153956995,3.8280325056492823,-1.8158615731926080,-0.5889280777921974,-0.9586964212654141,1.8555534055469254,0.0411028593126539,0.0414307570081137,-0.1519127756964167,0.7871843831541597
BT2020,D65,BT.2020 UHD spec,SDR BT.1886 / HDR PQ,0.3127000000000000,0.3290000000000000,0.7080000000000000,0.2920000000000000,0.1700000000000000,0.7970000000000000,0.1310000000000000,0.0460000000000000,0.6369580483012911,0.1446169035862084,0.1688809751641721,0.2627002120112670,0.6779980715188710,0.0593017164698620,0.0000000000000000,0.0280726930490874,1.0609850577107911,1.7166511879712683,-0.3556707837763925,-0.2533662813736599,-0.6666843518324890,1.6164812366349388,0.0157685458139111,0.0176398574453108,-0.0427706132578085,0.9421031212354738
AppleRGB,D65,AppleRGB Macintosh spec,gamma 1.8,0.3127000000000000,0.3290000000000000,0.6250000000000000,0.3400000000000000,0.2800000000000000,0.5950000000000000,0.1550000000000000,0.0700000000000000,0.4496616222155627,0.3162561182699032,0.1845381865662058,0.2446159224852661,0.6720442513235443,0.0833398261911897,0.0251810508440715,0.1411857670847782,0.9226909328310288,2.9519784796945516,-1.2896043040610907,-0.4739153071850055,-1.0850835744336771,1.9908093391113186,0.0372016778057131,0.0854722137322235,-0.2694297117995002,1.0910276694054404
