col_id,col_desc,eotf,Wx,Wy,Rx,Ry,Gx,Gy,Bx,By,Msrc0,Msrc1,Msrc2,Msrc3,Msrc4,Msrc5,Msrc6,Msrc7,Msrc8,Mdst0,Mdst1,Mdst2,Mdst3,Mdst4,Mdst5,Mdst6,Mdst7,Mdst8
sRGB,sRGB spec,non-linear gamma near 2.2,0.3127,0.329,0.64,0.33,0.3,0.6,0.15,0.06,0.4123907992659595,0.357584339383878,0.18048078840183424,0.21263900587151036,0.715168678767756,0.0721923153607337,0.019330818715591832,0.11919477979462598,0.9505321522496605,3.240969941904521,-1.537383177570093,-0.4986107602930032,-0.9692436362808796,1.8759675015077202,0.04155505740717558,0.055630079696993656,-0.20397695888897657,1.0569715142428788
sRGB_D93,sRGB D93,non-linear gamma near 2.2,0.28311093745916427,0.297072981780781,0.64,0.33,0.3,0.6,0.15,0.06,0.3491470312142139,0.3615183468861349,0.24233592064475307,0.18002893796982905,0.7230366937722698,0.09693436825790122,0.01636626708816626,0.1205061156287116,1.2763025153956995
BT601_525,BT.601-525 NTSC,non-linear gamma near 2.2,0.3127,0.329,0.63,0.34,0.31,0.595,0.155,0.07,0.39352090365938974,0.3652580767176036,0.1916769466746783,0.2123763607050675,0.7010598569257229,0.08656378236920957,0.018739090650447113,0.11193392673603976,0.9583847333733915
BT601_525_D93,BT.601-525 NTSC-J,non-linear gamma 2.2,0.28311093745916427,0.297072981780781,0.63,0.34,0.31,0.595,0.155,0.07,0.32763978557478884,0.36842798234360946,0.25693353082670334,0.1768214715800448,0.7071440306272504,0.11603449779270475,0.015601894551180407,0.11290534942788029,1.2846676541335167
BT601_625,BT.601-625 PAL,non-linear gamma near 2.2,0.3127,0.329,0.64,0.33,0.29,0.6,0.15,0.06,0.43055381332990245,0.3415498035305533,0.17835231019121597,0.22200430999823095,0.7066547659252826,0.07134092407648639,0.020182209999839155,0.12955337375296846,0.9393221670070708
BT709,BT.709 HD spec,BT.1886,0.3127,0.329,0.64,0.33,0.3,0.6,0.15,0.06,0.4123907992659595,0.357584339383878,0.18048078840183424,0.21263900587151036,0.715168678767756,0.0721923153607337,0.019330818715591832,0.11919477979462598,0.9505321522496605,3.240969941904521,-1.537383177570093,-0.4986107602930032,-0.9692436362808796,1.8759675015077202,0.04155505740717558,0.055630079696993656,-0.20397695888897657,1.0569715142428788
BT709_D93,BT.709 HD D93,BT.1886,0.28311093745916427,0.297072981780781,0.64,0.33,0.3,0.6,0.15,0.06,0.3491470312142139,0.3615183468861349,0.24233592064475307,0.18002893796982905,0.7230366937722698,0.09693436825790122,0.01636626708816626,0.1205061156287116,1.2763025153956995
BT2020,BT.2020 UHD spec,SDR BT.1886 / HDR PQ,0.3127,0.329,0.708,0.292,0.17,0.797,0.131,0.046,0.6369580483012913,0.14461690358620835,0.16888097516417208,0.26270021201126703,0.6779980715188709,0.05930171646986195,4.9941065744660755e-17,0.028072693049087435,1.0609850577107909,1.7166511879712676,-0.35567078377639233,-0.2533662813736598,-0.666684351832489,1.616481236634939,0.01576854581391112,0.017639857445310783,-0.042770613257808524,0.9421031212354739
AppleRGB,AppleRGB Macintosh spec,gamma 1.8,0.3127,0.329,0.625,0.34,0.28,0.595,0.155,0.07,0.44944949701016385,0.3163487641588609,0.18435777453254526,0.24450052637352915,0.6722411238375793,0.08325834978889142,0.02516917183256916,0.1412271268566343,0.9217888726627262
ARIBTRB9v1,ARIB TR B9 v1.0 1125/60 HDTV,non-linear gamma near 2.2,0.28311093745916427,0.297072981780781,0.67,0.33,0.21,0.71,0.14,0.08,0.5343581703976287,0.17710617574578172,0.2415369526016912,0.26319133765853353,0.5987875465690715,0.13802111577239495,-4.42728913561209e-17,0.06746901933172643,1.345705878780851
Raney_PVM_20M2U,Sony PVM 20M2U by Keith Raney,gamma 2.25,0.28311093745916427,0.297072981780781,0.63,0.345,0.285,0.605,0.15,0.065,0.38841072297974133,0.3211905451403289,0.2434000306250316,0.21270111020319166,0.6818255431926281,0.10547334660418037,0.015413123927767527,0.12396828058047796,1.273793493604332
Raney_PVM_20L2MDU,Sony PVM 20L2MDU by Keith Raney,gamma 2.25,0.28311093745916427,0.297072981780781,0.625,0.345,0.28,0.605,0.15,0.065,0.39869553112315514,0.31245041813537344,0.24185534948657314,0.22007993317998165,0.6751160820425033,0.10480398477751504,0.019137385493911464,0.1283278503055998,1.2657096623130661
